
TimeEdit,Chalmers
"Verksamheter och information, TIG016GU",2014-11-03 - 2015-01-18 v 45-3,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Typ,Lokal,Personal,Klass,Egen text,Undergrupp,Kurs 
2014-12-12,10:00,2014-12-12,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp C,,Verksamheter och information
2014-12-12,12:00,2014-12-12,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-15,08:00,2014-12-15,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-15,10:00,2014-12-15,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp A,,Verksamheter och information
2014-12-15,12:00,2014-12-15,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-15,13:00,2014-12-15,15:00,TIG016GU,,Handl,Torg Grön,"Kjell Engberg,Maria Bergenstjerna",N1SYS-1-GU,Grupparbete,,Verksamheter och information
2014-12-15,15:00,2014-12-15,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-16,08:00,2014-12-16,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-17,08:00,2014-12-17,10:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp C,,Verksamheter och information
2014-12-17,10:00,2014-12-17,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp A,,Verksamheter och information
2014-12-17,12:00,2014-12-17,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-17,13:00,2014-12-17,15:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,Grupp B,,Verksamheter och information
2014-12-17,15:00,2014-12-17,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-18,08:00,2014-12-18,08:30,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-18,12:30,2014-12-18,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-19,08:00,2014-12-19,09:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-12-19,09:00,2014-12-19,10:00,TIG016GU,,Handl,Torg Grön,"Kjell Engberg,Maria Bergenstjerna,Urban Nulden",N1SYS-1-GU,,,Verksamheter och information
2014-12-19,10:00,2014-12-19,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-05,08:00,2015-01-05,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-06,08:00,2015-01-06,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-07,08:00,2015-01-07,16:30,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-07,16:30,2015-01-07,17:00,TIG016GU,,Inlämning,,,N1SYS-1-GU,Inlämning senast 17:00,,Verksamheter och information
2015-01-08,08:00,2015-01-08,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-09,08:00,2015-01-09,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-12,08:00,2015-01-12,12:00,TIG016GU,,Examin,Torg Grön,,N1SYS-1-GU,Grupp 1-9,,Verksamheter och information
2015-01-12,12:00,2015-01-12,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-12,13:00,2015-01-12,17:00,TIG016GU,,Examin,Torg Grön,,N1SYS-1-GU,Grupp 10-18,,Verksamheter och information
2015-01-13,08:00,2015-01-13,12:00,TIG016GU,,Examin,Torg Grön,,N1SYS-1-GU,Grupp 19-24,,Verksamheter och information
2015-01-13,12:00,2015-01-13,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-13,13:00,2015-01-13,17:00,TIG016GU,,Examin,Torg Grön,,N1SYS-1-GU,Grupp 25-28,,Verksamheter och information
2015-01-14,08:00,2015-01-14,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-15,08:00,2015-01-15,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-01-16,08:30,2015-01-16,12:30,TIG016GU,,Tentamen,,,N1SYS-1-GU,Lokal anslås i hus Saga,,Verksamheter och information
2015-01-18,23:30,2015-01-19,00:00,TIG016GU,,Inlämning,,,N1SYS-1-GU,Inlämning senast kl. 24:00,,Verksamheter och information
