"TIG015, Informationsteknologi och informationssystem, DAG, HT2019, ORD, NML, GÖTEBORG",2019-09-02 - 2020-03-02,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-10-16,13:00,2019-10-16,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-18,10:00,2019-10-18,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-20,00:00,2019-10-21,00:00,Högskoleprovet,,,,,,,,,,
2019-10-21,10:00,2019-10-21,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-21,12:45,2019-10-21,13:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,Anmälan,Påminnelse,Sista anmälningsdag till tentan som går den 30/10 via Ladok. Läs instruktion på Studentportalen inför den digitala tentamen.,,,
2019-10-21,13:00,2019-10-21,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-22,09:00,2019-10-22,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Thanos (481),"Aida Hadzic Zukic, Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén",Lärare/student möte,Styrgruppsmöte 2,,,,
2019-10-23,09:00,2019-10-23,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Thanos (481),"Aida Hadzic Zukic, Anna-Lena Fredriksson, Kalevi Pessi, Urban Nuldén",Lärare/student möte,Styrgruppsmöte 2,,,,
2019-10-24,10:00,2019-10-24,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-10-24,13:00,2019-10-24,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-25,10:00,2019-10-25,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-28,10:00,2019-10-28,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-28,13:00,2019-10-28,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-10-29,10:00,2019-10-29,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-10-29,13:00,2019-10-29,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-10-30,08:00,2019-10-30,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,"Henrik Sandklef, Rikard Fröberg",Digital tentamen,Digital salstentamen,Obligatorisk anmälan via Ladok. Var på plats (Viktoriagatan 30) 30 min innan tentan startar.,,,
2019-11-01,10:00,2019-11-01,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-11-02,00:00,2019-11-03,00:00,Alla helgons dag,,,,,,,,,,
2019-11-04,23:45,2019-11-05,00:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,,,"Inlämning, Projektarbete",Inlämning slutrapport,Inlämning slutrapport i BIS/Projekt OBS! kl 23.59,,,
2019-12-24,00:00,2019-12-25,00:00,Julafton,,,,,,,,,,
2019-12-25,00:00,2019-12-26,00:00,Juldagen,,,,,,,,,,
2019-12-26,00:00,2019-12-27,00:00,Annandag jul,,,,,,,,,,
2019-12-31,00:00,2020-01-01,00:00,Nyårsafton,,,,,,,,,,
2020-01-01,00:00,2020-01-02,00:00,Nyårsdagen,,,,,,,,,,
2020-01-06,00:00,2020-01-07,00:00,Trettondedag jul,,,,,,,,,,
