Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-02-27,13:00,2019-02-27,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-02-28,09:00,2019-02-28,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-02-28,13:00,2019-02-28,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-01,09:00,2019-03-01,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-01,13:00,2019-03-01,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-04,10:00,2019-03-04,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,Databas - JDBC prepared statement och transaction,,,
2019-03-04,13:00,2019-03-04,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-03-05,10:00,2019-03-05,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,"Workshop, Java - Lab 3, introduktion",,,
2019-03-05,13:00,2019-03-05,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,"Workshop, Java - Lab 3, introduktion",,,
2019-03-06,10:00,2019-03-06,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,Databas - Tiers (skiktad arkitektur),,,
2019-03-06,13:00,2019-03-06,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-03-06,23:45,2019-03-07,00:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,,"Henrik Sandklef, Rikard Fröberg",Inlämning,GUL,Deadline inlämning lab 2 i GUL,,,
2019-03-07,09:00,2019-03-07,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-07,13:00,2019-03-07,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-08,09:00,2019-03-08,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-08,13:00,2019-03-08,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-11,10:00,2019-03-11,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Henrik Sandklef,Föreläsning,,Databas - repetition,,,
2019-03-11,13:00,2019-03-11,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-03-12,10:00,2019-03-12,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,"Java - Lab 3, parsing JSON, talking HTTP",,,
2019-03-12,13:00,2019-03-12,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,"Java - Lab 3, parsing JSON, talking HTTP",,,
2019-03-13,10:00,2019-03-13,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Henrik Sandklef,Föreläsning,,Databas - SQL injections,,,
2019-03-13,13:00,2019-03-13,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
